Nombre Institución,Investigadores,Número de Reseñas Verificadas,Número de Publicaciones
University of São Paulo,14.187,127,46.334
Universidade Estadual Paulista,7.632,44,15.725
St. Petersburg State University,6.815,7,4.041
The University of Queensland,6.328,162,50.089
Charles University in Prague,6.313,39,11.809
Higher School of Economics,5.576,8,2.567
Universidade Estadual de Campinas,5.527,69,21.439
Lomonosov Moscow State University,5.105,18,6.721
Mansoura University,4.692,51,17.139
Universidade de Lisboa,4.379,120,34.519
Universiti Malaya,4.377,66,21.931
Centre National de la Recherche Scientifique (CNRS),4.188,112,30.820
Kazan Federal University,4.017,12,3.750
Hacettepe University,3.720,14,5.433
Radboud University Nijmegen Medical Center,3.694,18,7.054
Universiti Sains Malaysia,3.633,47,16.722
Universidad Complutense de Madrid,3.548,55,17.985
University of Sevilla,3.448,85,23.359
University of Granada,3.350,66,21.294
Institut National de la Sante et de la Recherche Medicale (Inserm),3.176,61,19.137
University of Copenhagen,3.172,40,11.886
Universidade do Porto,3.112,111,31.862
National Institute of Advanced Industrial Science and Technology (AIST),3.092,18,6.893
Universidade Federal do Rio Grande do Sul,3.084,33,13.255
Universitat de Barcelona,3.049,57,19.076
Tomsk State University,3.045,1,745
The Ohio State University,2.998,43,13.985
University of Hong Kong,2.989,58,15.044
Al-Farabi Kazakh National University,2.981,1,508
University College London,2.940,125,34.483
Ghent University,2.905,90,21.279
Commonwealth Scientific & Industrial Research Organisation (CSIRO),2.887,29,11.002
Universidade Federal do Rio de Janeiro (UFRJ),2.881,22,9.177
Universidade Federal de Minas Gerais,2.737,30,11.890
King Abdulaziz University,2.736,52,20.487
Consiglio Nazionale delle Ricerche (CNR),2.601,147,39.731
"Catholic University of Leuven, KUL",2.500,74,18.025
Universidade Federal de São Paulo,2.500,23,9.636
The University of Melbourne,2.489,116,31.306
Istanbul Technical University,2.401,20,7.027
University of Valencia,2.396,53,17.726
National University of Singapore,2.386,68,22.675
Universidade Federal de São Carlos (UFSCar),2.384,10,5.004
University of New South Wales Sydney,2.338,122,32.281
Consejo Superior de Investigaciones Científicas (CSIC),2.324,84,20.639
The University of Sydney,2.308,116,33.319
Monash University,2.296,112,32.146
Nanyang Technological University,2.262,67,17.820
Universidade Federal de Santa Catarina (UFSC),2.230,33,8.637
Sapienza University of Rome,2.210,123,35.231
Nagoya University,2.196,42,10.580
Universidad Autónoma de Madrid,2.143,34,10.649
Tsinghua University,2.142,55,14.880
Harvard Medical School,2.138,103,34.785
University of the Basque Country (UPV/EHU),2.104,44,14.167
Universidad Politécnica de Madrid,2.095,42,13.479
University of Michigan,2.087,76,22.592
University of Cambridge,2.068,76,20.938
Universitat Autònoma de Barcelona,2.055,35,11.039
Universidade Federal do Paraná (UFPR),2.049,12,7.673
Zhejiang University,2.046,61,19.886
Universidade de Brasília (UnB),2.038,19,6.778
University of Oxford,2.006,74,20.648
University of Manchester,1.983,58,16.952
Universidade Nova de Lisboa,1.972,43,14.287
University of Florida,1.968,64,19.048
Universitat Politècnica de València,1.933,45,14.055
University of Western Australia,1.901,52,12.968
İstanbul University - Cerrahpaşa,1.892,11,5.581
Universidade do Minho,1.879,55,17.330
Universidade de Aveiro,1.843,74,20.235
Peoples Friendship University of Russia,1.804,6,1.660
Imperial College London,1.788,79,19.502
Instituto de Ciencias de la Atmósfera y Cambio Climático,1.770,30,9.027
Hokkaido University,1.770,36,10.596
Peter the Great St. Petersburg State Polytechnical University,1.759,2,980
Shanghai Jiao Tong University,1.755,36,12.959
University of Milan,1.750,85,22.426
Polytechnic University of Catalonia,1.740,35,12.184
Cukurova University,1.728,17,5.405
Universiti Kebangsaan Malaysia,1.726,32,9.179
Universiti Teknologi Malaysia,1.725,32,10.419
L.N. Gumilyov Eurasian National University,1.720,2,466
Imam Abdulrahman Bin Faisal University,1.705,11,3.546
Stanford University,1.704,66,19.647
University of Salamanca,1.698,29,10.669
Universidade de Coimbra,1.695,98,24.702
ELTE Eötvös Loránd University,1.695,14,4.705
Igor Sikorsky Kyiv Polytechnic Institute,1.692,2,583
The University of Tokyo,1.675,58,17.297
Masaryk University Brno,1.650,12,4.146
University of Tehran,1.647,36,14.186
Technical University of Denmark,1.645,51,13.419
Southern Federal University,1.638,4,1.918
University of Zaragoza,1.633,30,11.953
University of Bologna,1.621,92,27.799
University of Nottingham,1.615,47,16.741
University of Santiago De Compostela,1.593,30,11.432
King's College London,1.591,80,22.763
University of Toronto,1.586,54,17.494
ETH Zurich,1.576,49,13.489
Universidad de Chile,1.564,11,4.865
Ural Federal University,1.562,7,2.459
"University of California, Los Angeles",1.549,49,14.599
University of Alberta,1.541,59,18.382
University of Science & Technology of China,1.537,35,8.461
Universidade Federal de Pernambuco,1.531,9,3.972
Xi'an Jiaotong University,1.527,38,10.063
"Lviv Polytechnic National University, LPNU",1.527,6,1.695
Akdeniz University,1.520,12,3.985
University of Padua,1.517,90,24.442
University of Edinburgh,1.515,55,16.230
"University of California, San Diego",1.510,40,11.874
Peking University,1.507,18,7.100
University of South Australia,1.506,27,9.721
Massachusetts Institute of Technology (MIT),1.502,29,9.414
"University of California, Davis",1.501,60,16.579
Universidad de Málaga,1.483,29,9.164
Universidade Federal Fluminense (UFF),1.481,21,4.917
University of Tasmania,1.480,28,10.517
Karolinska Institutet,1.470,62,16.442
Australian National University,1.469,36,9.976
University of Naples Federico II,1.466,75,23.074
Universiti Teknologi MARA,1.466,13,5.496
"University of California, Berkeley",1.460,27,9.107
Universiti Putra Malaysia,1.456,19,7.811
Budapest University of Technology & Economics,1.454,27,7.485
University of Helsinki,1.441,32,13.025
Universidad de Castilla-La Mancha (UCLM),1.431,28,9.966
Vellore Institute of Technology,1.429,27,8.684
Korea Advanced Institute of Science & Technology,1.425,16,4.396
University of Oviedo,1.416,46,13.546
Aarhus University,1.411,51,13.705
University of Birmingham,1.407,49,12.830
"French National Research Institute for Agriculture, Food & Environment (INRAE)",1.394,33,9.380
Shiraz University of Medical Sciences,1.391,12,4.330
Poznan University of Technology,1.384,42,9.736
Curtin University,1.382,55,13.010
AGH University of Science and Technology,1.376,38,12.010
Huazhong University of Science & Technology,1.375,40,11.724
Sun Yat Sen University,1.372,32,9.024
Okayama University,1.364,20,5.527
Semmelweis University,1.361,5,2.687
The University of Texas at Austin,1.356,35,10.870
Universidade Federal do ABC (UFABC),1.355,7,3.077
University of Wisconsin Madison,1.347,57,13.887
Harbin Institute of Technology,1.343,36,9.091
University of British Columbia,1.340,50,14.645
Queensland University of Technology (QUT),1.332,55,12.940
King Saud University,1.329,54,13.521
Oles Honchar Dnipro National University,1.324,-,238
Northwestern University,1.324,29,7.909
Universidade Federal do Ceará (UFC) / Federal University of Ceará (Brazil),1.317,13,4.121
University of Al-Qadisiyah,1.316,5,2.041
"ITMO University (Saint Petersburg National Research University of Information Technologies, Mechanics and Optics)",1.315,2,1.155
McGill University,1.314,61,14.974
University of Southampton,1.312,34,9.912
Universidad de Valladolid,1.305,22,6.700
Cardiff University,1.305,35,10.171
University of Leeds,1.296,32,10.702
Penn State University,1.290,44,12.456
Gaziantep University,1.287,9,2.606
Seoul National University,1.280,25,7.314
University of Pittsburgh,1.274,63,16.770
Samara State Technical University,1.272,-,189
Johns Hopkins University,1.271,59,14.711
RIKEN,1.271,13,4.208
Xiamen University,1.262,20,6.082
University of Illinois Urbana-Champaign,1.261,30,8.308
Babeș-Bolyai University Cluj-Napoca,1.256,22,7.570
Hong Kong Polytechnic University,1.255,49,15.969
Tomsk Polytechnic University,1.252,10,2.170
P.N. Lebedev Physical Institute of the Russian Academy of Sciences,1.238,2,678
University of Adelaide,1.234,72,19.155
Delft University of Technology,1.233,43,11.791
Inonu University,1.230,6,2.168
The Chinese University of Hong Kong,1.229,41,11.577
Istanbul University,1.228,10,3.639
University of Antwerp,1.225,18,6.195
National Institutes of Health,1.223,43,11.515
University of Glasgow,1.221,44,11.494
Firat University,1.221,7,4.577
Nanjing University,1.219,23,5.811
Tehran University of Medical Sciences,1.217,28,9.530
University of Pennsylvania,1.215,40,10.015
Tianjin University,1.205,35,11.258
University of Turin,1.204,49,14.900
Isfahan University of Medical Sciences,1.203,10,2.918
Taras Shevchenko National University of Kyiv,1.200,7,1.222
"University of California, Irvine",1.198,36,8.549
Griffith University,1.192,52,21.780
University of Alicante,1.187,34,10.014
University of Murcia,1.186,22,7.905
Technical University of Košice,1.184,17,6.124
Harvard University,1.184,25,7.609
Michigan State University,1.184,48,12.414
Purdue University,1.175,30,10.352
Texas A&M University,1.171,22,7.687
Wuhan University,1.167,24,8.416
University of Sheffield,1.166,36,10.215
Federal University of Rio Grande do Norte,1.163,13,3.830
The University of Auckland,1.162,73,19.010
Universidad de Cádiz,1.162,15,6.450
Tohoku University,1.157,42,12.806
Kocaeli University,1.148,9,2.623
Universidade Federal de Goias,1.144,12,3.920
Lund University,1.135,42,21.421
Mendel University in Brno,1.131,4,2.535
University of Bristol,1.126,39,10.703
Virginia Polytechnic Institute & State University,1.125,40,11.910
Macquarie University,1.123,51,11.985
Kyoto University,1.122,57,14.262
Chinese Academy of Sciences,1.121,25,11.739
Cornell University,1.121,36,10.195
Islamic Azad University,1.117,15,4.936
Universidad de Cordoba,1.112,28,9.008
Tabriz University of Medical Sciences,1.107,19,5.054
Middle East Technical University,1.104,8,4.147
University of Zurich,1.102,62,15.674
Universidade Federal da Bahia,1.097,5,2.809
Yale University,1.095,40,12.235
Radboud University Nijmegen,1.095,19,4.718
Universidade da Coruña,1.087,25,6.965
Arizona State University,1.086,44,12.769
Polytechnic of Milan,1.085,55,16.788
University of Florence,1.078,56,15.289
Belarusian National Technical University,1.076,1,181
Duke University,1.076,34,10.981
Sichuan University,1.074,22,6.720
Universidade de Vigo,1.065,52,12.767
Universidade Federal de Santa Maria (UFSM),1.063,17,5.779
University of Technology - Iraq,1.063,46,13.945
University of Southern California,1.063,40,11.390
University of Newcastle,1.058,22,8.139
Tokyo Institute of Technology,1.056,19,6.542
Universidade do Estado do Rio de Janeiro,1.055,11,4.804
Saratov State University,1.052,6,1.394
Columbia University,1.046,38,13.674
Universidad Carlos III de Madrid,1.045,26,7.976
University of Technology Sydney,1.043,58,15.252
University of Washington,1.041,31,8.323
Jilin University,1.038,14,4.775
K L University,1.037,6,2.105
Georgia Institute of Technology,1.032,25,7.343
Shiraz University,1.032,12,3.715
Deakin University,1.022,41,11.397
Satbayev University,1.022,-,127
Kyiv National University of Trade and Economics,1.021,-,79
Utrecht University,1.018,28,8.689
Moscow Institute of Physics and Technology,1.016,2,1.248
Russian Presidential Academy of National Economy & Public Administration,1.016,-,56
Yuriy Fedkovych Chernivtsi National University,1.015,-,132
Brno University of Technology,1.013,31,12.709
Fudan University,1.006,21,6.445
Universidad Autónoma del Estado de México (UAEM),1.003,2,851
Ben Gurion University,997,20,5.469
Universität Vienna,993,32,9.295
National Taiwan University,992,39,9.458
University of Minnesota,991,51,14.548
Universidad de Extremadura,989,20,7.590
Southeast University,988,33,9.042
University of Groningen,986,34,8.875
UNED (Universidad Nacional de Educacion a Distancia),980,8,3.533
Universidade Federal de Uberlândia (UFU),979,9,3.489
Tongji University,978,21,5.575
Sechenov First Moscow State Medical University,978,8,3.570
Hiroshima University,971,23,6.949
North Carolina State University,966,37,11.478
Nicolaus Copernicus University,963,25,6.047
University of Pisa,961,52,15.032
Universidade Federal de Viçosa,957,13,4.280
Western University (University of Western Ontario),953,24,7.205
RMIT University,942,43,11.285
Universitas Airlangga,939,6,1.968
Uppsala University,937,28,8.606
Pompeu Fabra University (UPF),936,6,2.484
Universidad Rey Juan Carlos,933,29,7.821
National Institute for Materials Science,932,12,4.028
South China University of Technology,932,27,6.990
University of North Carolina Chapel Hill,930,35,9.336
"Swiss Federal Institute of Technology, Lausanne",929,16,6.824
Universidade Federal do Pará,926,5,2.035
UTFPR - Federal University of Technology - Paraná,926,15,4.598
Beihang University,925,16,5.233
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),924,3,842
"Cairo University, Giza, Egypt",922,41,15.482
Shandong University,920,22,6.209
Aix-Marseille Universite,920,15,4.977
Pontificia Universidad Catolica de Chile,920,12,3.769
University of Warwick,915,23,8.200
Central South University,911,13,4.756
"Ain Shams University, Cairo, Egypt",911,22,7.022
French Alternative Energies and Atomic Energy Commission,906,4,2.177
"University of California, San Francisco",902,46,12.455
Universidad de Alcalá,901,21,5.381
Universidade Federal da Paraíba,900,12,3.283
Oak Ridge National Laboratory,897,20,6.094
Norwegian University of Science and Technology,892,33,10.134
Universidade Estadual de Maringá (UEM),892,5,2.329
University of Liverpool,889,27,9.941
Iran University Science & Technology,888,23,5.623
Empresa Brasileira de Pesquisa Agropecuaria (Embrapa),884,2,1.813
Jagiellonian University,882,22,6.213
University of Calgary,881,38,13.560
Vrije Universiteit Amsterdam,876,14,4.773
Ioffe Physical-Technical Institute of the Russian Academy of Sciences,876,1,867
University of Maryland at College Park,873,15,5.732
Faculdade de Medicina da Universidade de São Paulo,868,10,2.812
Far Eastern State University,867,3,960
University of Otago,866,64,15.360
Wageningen University & Research,863,23,6.966
Universitat Rovira i Virgili,862,10,4.222
Ankara University,862,4,2.114
RWTH Aachen University,861,25,6.521
Istituto Superiore di Sanita,858,4,2.958
South Ural State University,858,8,3.149
Iowa State University,857,30,8.708
James Cook University,856,19,5.896
Pontifícia Universidade Católica do Rio Grande do Sul,855,4,1.862
KTH Royal Institute of Technology,852,22,7.106
Aalto University,852,24,7.952
University of South Africa,851,7,2.993
King Fahd University of Petroleum & Minerals,850,30,8.694
Polytechnic University of Bucharest,848,46,13.554
University of Pretoria,845,23,7.437
Dalian University of Technology,845,19,7.469
The University of Jordan,843,8,2.611
City University of Hong Kong,842,40,9.971
University of Wollongong,840,28,8.273
Chalmers University of Technology,836,25,7.295
Karlsruhe Institute of Technology (KIT),835,24,7.526
University of Southern Denmark,829,33,8.661
Universidade Federal do Espirito Santo,822,11,2.493
Comenius University Bratislava,822,11,2.831
Universidade Federal de Lavras,820,4,2.218
Loughborough University,819,12,5.232
Universita di Modena e Reggio Emilia,819,34,7.755
Aristotle University of Thessaloniki,818,65,18.070
Osaka University,815,22,8.156
Konkuk University,810,6,2.197
West Ukrainian National University,807,-,10
University of Amsterdam,806,42,9.710
Slovak Academy of Sciences,806,11,3.531
Iran University of Medical Sciences,802,14,4.659
Bauman Moscow State Technical University,797,-,573
Shahid Beheshti University Of Medical Sciences,795,16,4.618
University of Colorado Boulder,794,12,5.359
Alexandria University,794,20,5.056
University of Warsaw,794,9,3.879
Sorbonne Université,794,13,4.819
National Research Centre,793,23,8.107
University of Tartu,793,23,4.994
University of Newcastle upon Tyne,790,31,9.758
"Vrije Universiteit Brussel, VUB, Free University of Brussels",790,14,3.984
Universidad de La Laguna,789,7,2.814
Université de Montréal,784,25,7.050
Danylo Halytsky Lviv National Medical University,783,2,1.045
Ahvaz Jundishapur University of Medical Sciences,783,3,1.338
"Washington University, Saint Louis",780,43,11.857
Emory University,778,46,12.677
Warsaw University of Technology,778,17,5.958
University of Bucharest,777,8,4.178
"National University of Science and Technology ""MISIS""",774,11,2.446
University of Palermo,773,49,13.981
University College Dublin,773,36,11.606
Oswaldo Cruz Foundation (FIOCRUZ),772,8,2.291
Lodz University of Technology,770,17,5.096
McMaster University,770,45,9.904
University of Diyala,768,7,2.241
Amirkabir University of Technology,768,28,8.755
Siberian Federal University,767,5,1.341
Czech Technical University in Prague,766,26,5.848
Trinity College Dublin,766,32,8.899
Rutgers University,765,17,5.536
University of Georgia,764,33,9.542
Chongqing University,761,18,5.871
University of the Balearic Islands,758,21,6.849
Keio University,757,22,6.098
Colorado State University,756,20,5.228
University of Arizona,756,26,6.545
Universitat Jaume I,755,18,5.525
University of South Florida,748,24,7.050
Kanazawa University,748,6,2.713
Ferdowsi University Mashhad,746,20,5.032
University of Electronic Science and Technology of China,746,32,10.106
Czech University of Life Sciences,744,13,4.523
University of Cape Town,742,13,6.028
State University of New York at Buffalo,741,26,9.155
China University of Geosciences (Wuhan),738,10,2.483
University of Geneva,737,20,5.782
Hanyang University,736,13,5.118
Durham University,736,15,4.997
Dokuz Eylül University,734,7,4.292
University of Oslo,733,25,7.428
North-Western State Medical University named after I.I. Mechnikov,732,-,100
Beijing Institute of Technology,730,16,5.958
University of Basrah,729,13,4.378
Universidade Estadual de Londrina (State University of Londrina) - UEL,726,6,1.961
Necmettin Erbakan University,725,7,2.096
Indian Institute of Technology (IIT) - Madras,725,18,6.152
FZU - Institute of Physics of the Czech Academy of Sciences,724,9,1.836
Lawrence Berkeley National Laboratory,724,16,4.796
Lobachevsky Nizhny Novgorod State University,722,2,1.626
Novosibirsk State Technical University,717,1,531
"Escola Superior de Agricultura Luiz de Queiroz, ESALQ, Universidade de São Paulo, USP",715,-,546
"Sofia University ""St Kliment Ohridski""",713,4,1.693
Instituto Politécnico Nacional,712,9,3.898
University of Las Palmas de Gran Canaria (ULPGC),709,17,5.125
University of Genoa,699,35,11.043
Bukovinian State Medical University,697,-,12
University of Basel,693,30,9.403
Siberian State Medical University,693,1,178
Northwestern Polytechnical University,692,34,8.361
Polytechnic University of Turin,691,57,15.193
Universitat de Girona,690,23,6.761
University of Chicago,690,23,8.144
New York University,689,19,6.890
Korea University,688,17,4.084
Donetsk National Technical University,688,-,3
University of Exeter,686,27,6.629
University of Rome Tor Vergata,685,27,8.681
University of Navarra,685,22,5.719
Queen Mary University of London,684,33,8.888
Indian Institute of Science (IISC) - Bangalore,683,9,3.874
Wroclaw University of Economics,682,6,1.930
University of Central Florida,681,21,5.281
Wrocław University of Environmental and Life Sciences,680,18,3.733
University of Kentucky,679,29,7.055
West Pomeranian University of Technology,678,13,3.921
Yonsei University,678,20,9.888
University of Baghdad,678,23,7.245
"National and Kapodistrian University of Athens, NKUA",677,47,12.623
Universidade Federal de Pelotas,676,3,2.575
University of Waterloo,674,22,6.260
University of Kufa,673,13,4.524
Soochow University,673,25,6.090
University of Gothenburg,670,31,8.443
Palacky University Olomouc,669,16,4.662
"University of Virginia, Charlottesville",668,30,8.458
University of Ottawa,668,34,9.129
University of Strathclyde,667,21,7.617
Northern Technical University Iraq,667,14,2.801
University of Illinois Chicago,667,30,8.771
Universidade Federal de Juiz de Fora (UFJF),665,11,2.707
University of Aalborg,663,41,10.639
Eindhoven University of Technology,659,24,6.723
Ege University,659,12,4.267
Universidad de Huelva,658,6,2.338
Financial University under the Government of the Russian Federation,655,-,244
Boston University,654,28,7.783
Medical University of Warsaw,653,9,2.939
Tokyo University of Agriculture & Technology,652,10,3.733
University of Utah,652,20,6.732
Universidade Federal de Alagoas,651,5,1.650
"Indian Institute of Technology, Kharagpur",650,15,4.478
Hungarian Academy of Sciences,650,8,2.694
Silesian University of Technology,649,32,12.573
University of Bari,649,41,9.815
Universite Grenoble Alpes (UGA),648,13,4.245
University of Catania,648,49,12.165
University of Iowa,647,40,11.586
Kermanshah University of Medical Sciences,646,5,1.598
Swedish University of Agricultural Sciences,646,19,6.257
Universiti Malaysia Pahang,646,21,5.981
Universidad de León,645,18,5.152
Massey University,645,30,8.670
University of Thi-Qar,644,6,1.855
National Cheng Kung University,643,12,5.426
Pomeranian Medical University,643,3,1.404
Ivan Franko National University of Lviv,642,-,261
Adam Mickiewicz University,641,15,3.896
Université Laval,638,20,7.307
University of Chinese Academy of Sciences,636,6,1.992
Saint Petersburg Mining University,634,2,418
Jusup Balasagyn Kyrgyz National University,633,-,1
Moscow State Institute of International Relations,632,-,79
Omsk State Technical University (OmSTU),632,-,113
Carnegie Mellon University,631,8,2.423
Beijing Normal University,631,11,3.748
La Trobe University,630,30,8.254
Novosibirsk State University,630,15,4.143
CONICET - Consejo Nacional de Investigaciones Científicas y Técnicas,630,22,8.552
Vanderbilt University,629,25,7.394
University of Twente,628,24,5.702
Karadeniz Technical University,627,6,2.910
Medical University Lodz,625,13,3.140
Idaho National Laboratory (INL),625,5,1.375
University of Notre Dame,624,19,4.528
University of Perugia,624,43,9.849
South-West University - Bulgaria,620,3,531
Universidad de Cantabria,620,20,5.424
Baylor College of Medicine,620,25,6.891
Shanghai University,616,14,3.578
Linköping University,615,32,8.956
Bucharest University of Economic Studies (ASE),615,15,4.930
University of York - UK,611,22,6.892
Universidad del Rosario,611,-,613
"Prokhorov General Physics Institute of the Russian Academy of Sciences, GPI RAS",611,-,463
Universidad de Jaen,609,19,6.288
Zaporizhzhia State Medical University,609,1,1.107
University of Minnesota - Twin Cities,609,17,5.532
Technical University of Munich (TUM),608,23,5.734
Zanjan University of Medical Sciences (ZUMS),608,1,530
Southern University of Science and Technology (SUSTech),605,17,4.650
Hebrew University of Jerusalem,605,16,4.710
Odessa National Academy of Food Technologies,605,-,25
University of Texas Southwestern Medical Center Dallas,604,24,6.235
Stockholm University,603,17,5.261
Gdansk University of Technology,603,34,8.893
